0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1.0,0.729866,0.730757,0.723254,0.69878,0.963283,0.708841,0.727315,0.709651,0.695413,0.707105,0.665169,0.735824,0.963734,0.702142,0.750224,0.964415,0.737225,0.736532,0.720087,0.721518,0.966979,0.967649,0.725158,0.736999,0.74153,0.730775,0.963659,0.726155,0.762655,0.730697,0.703182,0.731399,0.717234,0.695736,0.740558,0.734288,0.720817,0.749496,0.710442,0.700548,0.692312,0.72101,0.711113,0.695207,0.758091,0.735272,0.70522,0.673276,0.726282,0.743292,0.962923,0.736902,0.750182,0.727996,0.747064,0.708193,0.966297,0.721702,0.768749,0.73532,0.716082,0.724041,0.969355,0.718373,0.735892,0.736146,0.725935,0.964887,0.96824,0.678196,0.701312,0.729015,0.687094,0.71821,0.71567,0.671801,0.721598,0.699281,0.969004,0.967451,0.744833,0.71507,0.760495,0.753685,0.674191,0.715547,0.72085,0.963405,0.720513,0.966329,0.967069,0.740661,0.728499,0.712571,0.711882,0.738404,0.752921,0.700979,0.687911
0.729866,1.0,0.731497,0.742574,0.74735,0.719995,0.758037,0.706789,0.966246,0.728081,0.720436,0.721118,0.732023,0.751762,0.76547,0.704463,0.687955,0.968926,0.769967,0.684782,0.736462,0.724995,0.716421,0.751015,0.71499,0.683704,0.971184,0.730498,0.709307,0.735144,0.712994,0.730738,0.721317,0.686956,0.743376,0.754826,0.705789,0.735274,0.702767,0.967505,0.746922,0.707466,0.742643,0.702309,0.748177,0.734949,0.730902,0.963868,0.729178,0.969991,0.968911,0.72764,0.969819,0.968764,0.751306,0.97469,0.966706,0.728973,0.719708,0.730374,0.699297,0.743485,0.74918,0.737437,0.731653,0.713222,0.971338,0.714989,0.728495,0.700109,0.751257,0.71225,0.750218,0.967566,0.761441,0.964637,0.762882,0.737791,0.973032,0.714818,0.720914,0.695807,0.7294,0.701511,0.720473,0.965034,0.969461,0.970165,0.718216,0.685205,0.718258,0.734268,0.713156,0.727208,0.69799,0.742242,0.967582,0.709125,0.96641,0.742882
0.730757,0.731497,1.0,0.961687,0.954475,0.719389,0.966199,0.709242,0.722583,0.959155,0.965834,0.960272,0.964531,0.734824,0.737231,0.730434,0.732473,0.735997,0.965143,0.721739,0.76957,0.726817,0.72975,0.96282,0.728392,0.745088,0.73941,0.762074,0.75478,0.750485,0.963735,0.751972,0.964454,0.76359,0.754738,0.737806,0.731401,0.963032,0.746938,0.731515,0.759511,0.962183,0.753262,0.715361,0.962829,0.722684,0.95663,0.745945,0.733049,0.716607,0.729983,0.755679,0.74166,0.699443,0.96398,0.714745,0.744027,0.738249,0.772729,0.736741,0.728156,0.95846,0.749423,0.756755,0.965933,0.711841,0.745154,0.722892,0.711031,0.728301,0.754748,0.764302,0.969385,0.749086,0.774094,0.743072,0.759027,0.965187,0.706883,0.74588,0.738869,0.744825,0.964779,0.712978,0.744155,0.738503,0.726779,0.760499,0.745581,0.692904,0.744191,0.720488,0.741391,0.74507,0.726203,0.960864,0.73295,0.726275,0.740446,0.740486
0.723254,0.742574,0.961687,1.0,0.959796,0.708077,0.964168,0.741626,0.72218,0.961089,0.961682,0.961876,0.967074,0.701642,0.723267,0.72565,0.723777,0.745641,0.967662,0.769417,0.732996,0.735792,0.703469,0.962721,0.741374,0.756177,0.735103,0.748363,0.770054,0.758693,0.965494,0.72808,0.957408,0.753057,0.751238,0.721972,0.728604,0.969885,0.726301,0.748598,0.717607,0.967221,0.766447,0.724462,0.963649,0.698838,0.962708,0.723797,0.727111,0.708589,0.725128,0.706131,0.733041,0.738344,0.969816,0.711812,0.75147,0.721212,0.751228,0.747488,0.737959,0.967085,0.724229,0.733063,0.964414,0.731419,0.771001,0.707181,0.739052,0.699638,0.754412,0.752561,0.968646,0.721272,0.715429,0.738539,0.751896,0.969565,0.7109,0.709756,0.711033,0.717518,0.960668,0.750614,0.738641,0.717411,0.743795,0.774006,0.698806,0.743702,0.733049,0.696789,0.720582,0.713107,0.762063,0.969729,0.704741,0.758601,0.723983,0.741793
0.69878,0.74735,0.954475,0.959796,1.0,0.725534,0.96561,0.713682,0.740117,0.959817,0.966583,0.961117,0.961465,0.72718,0.733816,0.715917,0.734538,0.775542,0.968542,0.751963,0.737891,0.716613,0.706671,0.964136,0.750935,0.763299,0.734423,0.732325,0.733606,0.74856,0.963675,0.728709,0.962026,0.72611,0.715,0.700979,0.71961,0.956184,0.747234,0.741982,0.704703,0.961444,0.765576,0.755326,0.961556,0.718333,0.959394,0.738467,0.727914,0.751184,0.723787,0.713362,0.775224,0.729553,0.964557,0.733195,0.749825,0.700388,0.754858,0.73811,0.726771,0.957034,0.736935,0.733262,0.965809,0.735578,0.746606,0.722413,0.712648,0.714474,0.768285,0.752631,0.962552,0.739382,0.726817,0.759616,0.726806,0.95621,0.699591,0.727916,0.695713,0.72687,0.968407,0.742646,0.728875,0.720665,0.74295,0.764836,0.714824,0.741268,0.733669,0.711605,0.713136,0.718748,0.742721,0.967382,0.714878,0.746477,0.754241,0.739672
0.963283,0.719995,0.719389,0.708077,0.725534,1.0,0.72075,0.714788,0.725962,0.695432,0.714196,0.712539,0.750281,0.968736,0.731223,0.727024,0.968095,0.720923,0.705866,0.708788,0.713137,0.970178,0.963571,0.750457,0.713358,0.746291,0.712068,0.965061,0.735206,0.764236,0.732939,0.702844,0.691941,0.716715,0.704538,0.752853,0.726586,0.723933,0.741417,0.700166,0.727365,0.708906,0.727013,0.703072,0.722104,0.738944,0.725306,0.716439,0.713951,0.725331,0.693587,0.970236,0.670423,0.726617,0.727959,0.699182,0.726076,0.960441,0.705426,0.74734,0.718403,0.738396,0.743581,0.971933,0.737961,0.751197,0.728559,0.72959,0.967179,0.962425,0.730876,0.710726,0.751151,0.729924,0.699973,0.742428,0.716059,0.716664,0.702449,0.967716,0.964304,0.722484,0.716939,0.777799,0.737931,0.717829,0.724217,0.714403,0.966778,0.722489,0.96599,0.964774,0.740374,0.712282,0.710149,0.726381,0.703291,0.742633,0.735882,0.697026
0.708841,0.758037,0.966199,0.964168,0.96561,0.72075,1.0,0.737383,0.715399,0.953656,0.965201,0.959469,0.96761,0.713091,0.741922,0.722208,0.750351,0.768781,0.968593,0.745364,0.719965,0.740203,0.709834,0.965752,0.748692,0.746655,0.752723,0.747759,0.74426,0.734275,0.969056,0.736678,0.964744,0.736506,0.760329,0.716335,0.710137,0.962397,0.747001,0.697098,0.746777,0.968655,0.756024,0.736553,0.965006,0.720909,0.960959,0.74226,0.714767,0.757705,0.734831,0.736009,0.735845,0.726402,0.965116,0.711208,0.744879,0.705136,0.73723,0.74657,0.730334,0.955495,0.745357,0.722664,0.96612,0.721402,0.723722,0.711791,0.715232,0.700764,0.743626,0.741988,0.966292,0.714687,0.729323,0.746111,0.755578,0.964342,0.728199,0.739299,0.700227,0.724742,0.970379,0.734218,0.720094,0.743765,0.738195,0.759475,0.737157,0.718573,0.742196,0.708638,0.735056,0.736838,0.749877,0.965169,0.740557,0.742179,0.744206,0.761862
0.727315,0.706789,0.709242,0.741626,0.713682,0.714788,0.737383,1.0,0.718962,0.731931,0.712432,0.728102,0.74049,0.743847,0.72544,0.956131,0.716322,0.723062,0.73536,0.964127,0.743329,0.750345,0.730715,0.735867,0.96766,0.963929,0.689828,0.705482,0.959727,0.963255,0.73024,0.716757,0.703064,0.747421,0.719731,0.73341,0.959937,0.735584,0.971174,0.719452,0.712398,0.709275,0.724813,0.967284,0.723129,0.962275,0.723273,0.746388,0.722427,0.705474,0.717087,0.742593,0.754459,0.721928,0.706042,0.720029,0.744446,0.732819,0.959075,0.969706,0.9607,0.741582,0.724228,0.767889,0.741989,0.961524,0.732286,0.962577,0.725848,0.734743,0.682884,0.968428,0.694931,0.720115,0.717451,0.714318,0.756074,0.753365,0.694321,0.741451,0.733215,0.965994,0.724978,0.964171,0.958899,0.72254,0.72434,0.713704,0.741436,0.967489,0.746741,0.73038,0.969773,0.962872,0.968181,0.759307,0.719043,0.959079,0.71667,0.720685
0.709651,0.966246,0.722583,0.72218,0.740117,0.725962,0.715399,0.718962,1.0,0.692207,0.738116,0.687034,0.748176,0.764844,0.737977,0.721291,0.699098,0.965017,0.725351,0.704504,0.743834,0.723681,0.70035,0.752429,0.692067,0.709925,0.965747,0.750875,0.682763,0.727997,0.714823,0.737435,0.718496,0.699479,0.70286,0.756011,0.691298,0.741718,0.743899,0.967662,0.744603,0.719334,0.736913,0.702557,0.72126,0.721979,0.703779,0.966118,0.702967,0.966063,0.973377,0.733648,0.961171,0.964425,0.72811,0.966394,0.970586,0.708428,0.721487,0.739811,0.699438,0.719214,0.709792,0.73076,0.7264,0.731032,0.970927,0.701295,0.753395,0.699621,0.737645,0.717785,0.744142,0.9644,0.713236,0.965408,0.737081,0.735095,0.964262,0.726575,0.703442,0.716579,0.715601,0.702069,0.690286,0.961648,0.965127,0.959666,0.716901,0.683963,0.675457,0.729973,0.71285,0.708332,0.71059,0.702117,0.961813,0.726813,0.956623,0.741727
0.695413,0.728081,0.959155,0.961089,0.959817,0.695432,0.953656,0.731931,0.692207,1.0,0.962893,0.957319,0.962317,0.730778,0.741686,0.734686,0.737045,0.738548,0.961863,0.766511,0.743178,0.72599,0.685979,0.957444,0.734879,0.752885,0.737182,0.740528,0.767989,0.754462,0.9603,0.728683,0.960525,0.72791,0.73642,0.713582,0.727646,0.964125,0.76365,0.721795,0.69889,0.960206,0.751771,0.741172,0.963136,0.730529,0.964208,0.708429,0.745347,0.730489,0.698194,0.723381,0.715214,0.690705,0.963105,0.700309,0.724898,0.722854,0.749804,0.734379,0.751022,0.960902,0.720161,0.72717,0.9614,0.728766,0.718988,0.725943,0.708823,0.706804,0.767558,0.775337,0.965797,0.71136,0.756304,0.707493,0.752419,0.958956,0.683888,0.715833,0.700226,0.723235,0.96792,0.730828,0.732024,0.717928,0.70839,0.737697,0.708766,0.742901,0.735362,0.717093,0.734056,0.722892,0.757791,0.966049,0.70756,0.733507,0.721464,0.758876
